Date,Wind,Rain,Surge
19790619,4.985799999999999,1.016,25.4
19790620,4.0092,10.922,23.1
19790623,2.9812,2.032,29.1
19790624,4.0092,3.048,29.1
19790706,6.9904,17.018,29.5
19790802,7.967,7.112,31.0
19790803,8.995000000000001,12.954,32.4
19790807,8.995000000000001,10.922,23.5
19790808,6.0138,18.034,24.0
19790809,4.985799999999999,7.874,26.1
19790810,7.967,2.032,25.0
19790917,7.967,41.91,17.0
19790919,10.9996,4.064,13.8
19790920,13.0042,8.889999999999999,12.4
19790921,13.9808,13.97,40.9
19790922,6.0138,11.938,42.9
19790923,7.967,2.032,28.5
19800626,8.995000000000001,10.922,20.1
19800627,13.9808,9.906,29.9
19800628,13.9808,28.956,30.1
19800719,7.967,26.924,23.8
19800818,4.0092,94.996,22.9
19800819,9.9716,110.998,25.1
19800820,6.0138,22.098,22.8
19800829,4.985799999999999,1.016,16.900000000000002
19800830,8.995000000000001,17.018,22.1
19800905,7.967,28.956,23.1
19800906,2.9812,5.08,26.6
19800914,7.967,34.036,30.6
19800915,19.9946,178.05399999999997,30.0
19800916,6.9904,136.90599999999998,32.7
19810610,9.9716,56.896,30.7
19810611,6.9904,2.032,25.5
19810703,17.990000000000002,2.032,18.4
19810704,19.9946,68.072,60.1
19810705,4.985799999999999,10.922,60.1
19810723,10.9996,10.922,19.5
19810724,8.995000000000001,1.016,17.599999999999998
19810809,4.985799999999999,10.922,28.000000000000004
19810810,10.9996,40.894,25.2
19810817,7.967,8.889999999999999,19.8
19810818,7.967,34.036,24.3
19810819,22.975800000000003,78.99399999999999,29.0
19810820,8.995000000000001,3.048,37.6
19811004,4.985799999999999,1.016,17.9
19811005,10.9996,28.956,17.7
19811006,6.0138,149.09799999999998,20.8
19811122,7.967,3.048,18.5
19820629,4.985799999999999,25.908,30.0
19820630,4.985799999999999,54.102,29.0
19820717,6.0138,1.016,23.5
19820906,9.9716,7.874,53.400000000000006
19820907,4.985799999999999,3.048,54.3
19820914,7.967,1.016,24.3
19820915,6.0138,21.082,19.5
19820916,8.995000000000001,19.05,12.2
19821017,19.9946,41.91,31.6
19821018,6.9904,32.004,71.7
19830625,7.967,1.016,26.700000000000003
19830626,6.0138,0.254,28.2
19830713,7.967,32.004,19.1
19830714,7.967,3.048,20.200000000000003
