Date,Wind,Rain,Surge
19790815,13.0042,33.02,80.7
19790816,14.957400000000002,103.12399999999998,65.0
19790823,10.9996,22.098,112.0
19790824,17.990000000000002,167.894,85.5
19790825,14.957400000000002,123.95199999999998,22.1
19800712,4.985799999999999,1.016,26.200000000000003
19800713,10.9996,19.05,23.7
19801013,10.9996,55.118,59.9
19810614,8.995000000000001,21.082,54.50000000000001
19810615,6.0138,13.97,41.7
19810621,6.0138,1.016,24.2
19810722,6.0138,3.048,32.800000000000004
19810723,9.9716,24.892,49.7
19810724,4.985799999999999,1.016,22.8
19810831,14.957400000000002,55.118,105.4
19810901,15.9854,84.074,36.0
19810902,13.0042,43.942,21.9
19820809,4.985799999999999,4.064,40.9
19820811,11.9762,22.098,64.3
19820813,6.0138,35.05199999999999,21.7
19830926,34.952,39.878,166.4
19830927,16.962,60.96,85.2
19840704,4.985799999999999,4.064,27.1
19840731,10.9996,0.508,19.3
19840807,9.9716,40.894,49.4
19840808,10.9996,12.954,42.0
19840820,9.9716,18.542,61.2
19840826,4.985799999999999,0.508,38.9
19840827,4.0092,2.032,26.5
19850626,7.967,2.032,31.8
19850627,6.0138,1.016,26.1
19850729,6.0138,5.08,37.2
19850730,11.9762,36.068,52.900000000000006
19850731,13.0042,91.948,42.6
19850801,6.9904,2.54,13.0
19850812,4.0092,4.064,49.0
19850813,4.985799999999999,2.286,46.6
19850817,6.0138,14.986,43.3
19850818,11.9762,23.114,19.1
19850831,4.0092,10.922,33.300000000000004
19850902,2.9812,24.384,21.5
19851004,16.962,147.066,59.0
19851005,9.9716,12.954,34.8
19860624,4.985799999999999,7.112,27.500000000000004
19860826,9.9716,1.016,106.9
19860827,27.9616,99.06,103.9
19860828,9.9716,6.095999999999999,40.0
19860920,10.9996,49.022,40.5
19870714,6.0138,8.889999999999999,54.50000000000001
19870715,9.9716,4.571999999999999,38.3
19870722,6.9904,13.97,22.0
19870727,14.957400000000002,8.128,32.9
19870728,13.0042,27.94,20.9
19880807,15.9854,41.148,62.1
19890719,6.0138,0.508,34.8
19890720,13.0042,5.588,57.6
19890721,14.957400000000002,16.256,38.1
19890723,6.0138,2.032,11.3
19890803,10.9996,144.018,68.7
19890804,6.0138,13.208,41.3
19890817,6.0138,23.876,45.8
19890819,4.985799999999999,8.128,32.0
19890820,4.985799999999999,19.304,29.8
19890823,7.967,37.084,33.2
19890824,6.0138,7.365999999999999,39.900000000000006
