Date,Wind,Rain,Surge
19790705,9.9716,16.002,55.50000000000001
19790706,6.0138,25.908,46.6
19790729,4.985799999999999,30.988,31.6
19790730,4.985799999999999,59.944,25.7
19790802,9.9716,57.91199999999999,51.6
19790803,6.9904,59.944,43.5
19790806,4.985799999999999,1.016,43.4
19790807,6.9904,26.924,44.3
19790918,6.9904,2.032,40.5
19790919,7.967,23.876,53.6
19790920,6.0138,82.042,50.6
19790922,6.0138,3.048,43.4
19790924,7.967,1.016,24.3
19800522,4.985799999999999,1.016,52.900000000000006
19800626,4.985799999999999,23.876,40.2
19800627,9.9716,51.054,43.9
19800628,8.995000000000001,32.004,32.7
19800711,6.9904,25.908,21.6
19800712,4.0092,4.064,8.5
19800718,7.967,21.082,34.5
19800719,8.995000000000001,19.05,39.8
19800722,15.9854,1.016,156.20000000000002
19800727,4.985799999999999,1.016,23.6
19800817,4.0092,0.254,31.9
19800818,6.9904,36.068,47.4
19800819,6.9904,74.93,25.3
19800829,4.0092,5.08,26.0
19800830,6.0138,7.874,24.1
19800914,7.967,34.036,76.2
19800915,7.967,46.99,54.1
19800919,6.0138,1.016,30.3
19810609,6.0138,4.064,45.4
19810610,4.985799999999999,1.016,39.1
19810611,8.995000000000001,4.064,41.6
19810612,4.985799999999999,1.016,43.6
19810703,6.9904,5.08,43.8
19810705,4.985799999999999,5.08,32.0
19810706,6.9904,4.064,42.9
19810707,11.9762,144.018,32.6
19810722,6.0138,44.958,26.4
19810723,6.0138,117.094,20.1
19810724,8.995000000000001,20.066,9.5
19810809,4.985799999999999,20.066,33.6
19810810,7.967,14.986,24.9
19810817,4.985799999999999,13.97,40.3
19810818,6.0138,3.048,41.0
19810819,6.9904,9.906,32.2
19811004,9.9716,1.016,41.6
19811005,6.9904,65.024,30.1
19811006,7.967,34.036,22.2
19811007,9.9716,7.874,22.6
19811122,6.0138,1.016,49.7
19811123,4.985799999999999,5.08,40.2
19820629,7.967,25.908,51.7
19820630,6.0138,40.894,30.9
19820701,2.9812,4.064,34.0
19820716,6.9904,0.254,48.9
19820717,7.967,26.162,55.900000000000006
19820815,4.985799999999999,2.032,20.6
19820816,2.9812,5.08,23.9
19820913,8.995000000000001,4.064,51.0
19820914,16.962,47.244,73.1
19820915,7.967,29.972,41.5
19820916,4.0092,2.032,22.0
19821017,6.9904,3.048,59.8
19830712,4.985799999999999,2.032,45.6
19830713,4.985799999999999,5.08,33.300000000000004
19830714,4.985799999999999,7.112,26.200000000000003
19830716,8.995000000000001,9.906,64.2
19830717,9.9716,34.544000000000004,88.1
19830909,4.985799999999999,37.592,21.6
19830929,8.995000000000001,4.064,60.1
19830930,11.9762,23.876,68.89999999999999
19831013,16.962,136.90599999999998,45.5
19831014,2.9812,3.048,22.0
19840624,4.0092,9.906,38.5
19840625,16.962,19.558,65.5
19840626,7.967,6.095999999999999,31.2
19840708,10.9996,1.016,46.400000000000006
19840709,16.962,35.306,73.7
19840809,6.9904,9.906,24.8
19840810,4.0092,2.54,32.7
19840811,6.9904,41.91,32.7
19840818,7.967,3.048,67.60000000000001
19840819,6.9904,12.954,54.400000000000006
19840820,6.9904,55.118,35.5
19840821,2.9812,18.034,18.2
19840830,4.985799999999999,4.064,46.7
19840831,2.9812,18.034,31.4
19840904,4.985799999999999,4.064,26.700000000000003
19840905,7.967,9.143999999999998,58.9
19840906,6.9904,39.116,21.3
19840924,4.0092,2.032,37.4
19840925,4.985799999999999,1.016,29.2
19850620,6.0138,3.048,47.8
19850623,6.0138,7.112,41.5
19850624,6.0138,4.064,31.7
19850628,2.9812,3.048,26.200000000000003
19850629,6.9904,5.08,29.3
19850808,4.985799999999999,2.286,34.300000000000004
19850809,4.985799999999999,0.508,23.1
19850810,4.0092,16.002,28.7
19850812,6.0138,2.032,33.7
19850813,4.985799999999999,13.97,30.1
19850815,4.0092,7.112,28.000000000000004
19850820,4.0092,4.064,21.2
19850821,2.9812,25.908,21.9
19850822,6.0138,77.978,32.0
19850825,4.0092,3.048,19.5
19850826,4.985799999999999,112.014,32.6
19850827,4.985799999999999,62.992,29.8
19850829,4.0092,36.57599999999999,22.5
19850830,4.0092,4.064,24.8
19850831,4.985799999999999,22.098,24.8
19850905,16.962,3.302,67.80000000000001
19850906,14.957400000000002,128.016,45.8
19850920,6.9904,15.239999999999998,32.6
19850921,8.995000000000001,28.956,25.9
19850922,6.9904,221.996,20.9
19850923,4.0092,10.922,15.7
19850929,8.995000000000001,3.556,46.3
19850930,6.0138,2.032,54.2
19851020,8.995000000000001,6.35,75.8
19851021,14.957400000000002,8.128,68.8
19860519,4.985799999999999,8.889999999999999,32.2
19860520,6.0138,55.88,29.7
19860521,9.9716,32.004,35.8
19860522,6.0138,2.286,64.3
19860623,4.985799999999999,2.032,24.0
19860625,6.0138,36.068,21.2
19860626,6.0138,9.906,11.0
19860711,513.9486,12.191999999999998,35.0
19860712,7.967,91.948,19.0
19860713,6.9904,11.43,26.8
19860719,6.0138,5.08,25.0
19860720,8.995000000000001,57.91199999999999,40.400000000000006
19860722,6.0138,4.064,18.9
19860810,10.9996,75.438,65.7
19860811,7.967,162.052,49.8
19860819,4.0092,6.095999999999999,32.0
19860821,2.0046,16.002,11.5
19860825,4.985799999999999,0.508,31.9
19860905,8.995000000000001,53.34,74.3
19861018,10.9996,13.462,69.0
19861019,6.0138,49.022,54.2
19861115,25.957,3.048,44.7
19870617,4.0092,1.016,40.7
19870618,9.9716,4.064,43.8
19870619,9.9716,25.908,51.7
19870821,6.0138,53.08599999999999,45.4
19871127,10.9996,0.508,27.4
19871128,10.9996,16.509999999999998,34.9
19880629,4.985799999999999,29.972,22.0
19880719,6.0138,1.016,26.700000000000003
19880720,7.967,27.94,14.099999999999998
19880801,4.985799999999999,2.032,32.800000000000004
19880802,6.0138,12.954,38.3
19880803,4.0092,7.112,27.0
19880923,6.0138,0.508,21.9
19881001,6.9904,1.5239999999999998,51.0
19881003,4.985799999999999,0.254,47.3
19881022,7.967,9.398,71.8
19881027,9.9716,5.08,71.0
19881028,10.9996,0.508,57.7
19890520,9.9716,6.095999999999999,75.6
19890521,4.985799999999999,26.67,35.9
19890609,4.985799999999999,4.064,42.0
19890610,6.0138,26.924,43.3
19890710,6.0138,14.986,40.9
19890711,6.0138,7.365999999999999,25.5
19890717,19.9946,4.064,55.7
19890718,19.9946,35.05199999999999,153.0
19890719,4.985799999999999,3.048,24.8
19890810,4.985799999999999,6.095999999999999,34.9
19890811,4.0092,29.972,41.6
19890812,4.985799999999999,11.176,19.0
19891001,6.9904,0.508,68.89999999999999
19900517,4.0092,4.064,19.7
19900526,4.985799999999999,1.016,44.7
19900528,4.0092,0.254,29.2
19900616,4.985799999999999,22.098,45.4
19900617,10.9996,25.146,67.5
19900618,9.9716,23.114,69.0
19900730,4.0092,22.098,57.6
19900828,11.9762,14.986,83.8
19900910,2.9812,13.97,1.3
19900912,2.0046,5.08,11.1
19901116,6.9904,16.002,60.7
19901117,7.967,60.96,53.1
19901118,4.0092,40.386,31.1
19910428,4.0092,2.032,20.6
19910712,6.0138,13.97,52.900000000000006
19910713,10.9996,44.958,49.0
19910719,4.0092,21.082,20.3
19910720,4.0092,0.508,24.2
19910723,6.0138,19.05,27.0
19910724,8.995000000000001,212.09,30.2
19910725,4.0092,7.874,22.0
19910728,2.9812,2.032,17.599999999999998
19910814,2.9812,38.1,33.7
19910815,11.9762,51.054,102.6
19910816,6.0138,45.974,73.5
19910904,2.9812,44.958,26.1
19910905,6.9904,11.938,28.3
19910906,4.985799999999999,5.08,25.5
19920627,6.9904,6.095999999999999,77.4
19920628,6.0138,58.92799999999999,61.4
19920712,6.0138,40.894,60.1
19920713,8.995000000000001,5.08,50.1
19920717,2.0046,0.508,16.3
19920718,4.985799999999999,4.064,13.900000000000002
19920722,11.9762,74.93,110.9
19920723,11.9762,54.102,49.0
19920906,2.9812,56.896,9.8
19920907,4.985799999999999,97.028,25.6
19920908,2.9812,6.095999999999999,24.8
19920919,6.9904,46.99,40.1
19930627,13.9808,30.988,114.0
19930628,6.0138,17.018,34.7
19930710,6.9904,19.05,37.9
19930820,14.957400000000002,59.944,117.2
19930821,9.9716,48.00599999999999,102.7
19930914,2.9812,13.97,19.9
19930917,10.9996,156.97199999999998,55.50000000000001
19930918,6.0138,28.956,26.200000000000003
19930922,4.0092,4.064,22.6
19930923,4.0092,11.938,30.8
19930924,6.9904,6.095999999999999,43.4
19930925,13.0042,76.96199999999999,67.9
19930926,13.0042,26.924,52.2
19930927,4.0092,22.098,31.3
19931013,4.985799999999999,2.032,24.1
19931103,2.9812,2.032,63.4
19931104,13.0042,207.01,92.1
19931105,2.0046,7.112,24.6
19940606,6.0138,3.048,54.3
19940607,6.9904,19.05,68.2
19940608,8.995000000000001,24.892,64.9
19940609,7.967,43.942,30.5
19940624,6.0138,13.97,40.400000000000006
19940625,6.0138,20.066,33.2
19940703,6.0138,23.876,32.1
19940704,9.9716,87.884,34.599999999999994
19940705,6.0138,55.118,25.5
19940706,4.985799999999999,7.874,25.6
19940718,4.985799999999999,8.889999999999999,26.8
19940719,4.0092,68.072,29.4
19940720,2.9812,36.068,26.700000000000003
19940721,4.985799999999999,62.992,23.9
19940722,4.0092,2.032,29.6
19940726,2.9812,7.112,26.4
19940727,2.9812,37.084,27.1
19940728,4.0092,23.876,29.1
19940729,6.0138,36.068,33.1
19940826,6.9904,8.889999999999999,51.7
19940827,8.995000000000001,58.92799999999999,80.30000000000001
19940828,6.0138,7.874,39.0
19940906,4.985799999999999,1.016,29.7
19940911,4.0092,7.874,26.9
19940912,6.9904,13.97,51.1
19940913,6.9904,3.048,36.9
19941225,4.985799999999999,2.032,27.9
19950811,4.0092,1.016,35.3
19950812,4.0092,2.032,27.200000000000003
19950819,6.0138,2.032,21.6
19950820,6.0138,0.254,18.5
19950826,4.985799999999999,4.064,40.9
19950827,6.9904,61.97599999999999,64.9
19950828,6.9904,46.99,62.6
19950831,4.0092,12.954,29.5
19950901,6.0138,29.972,26.4
19950906,4.985799999999999,33.02,53.3
19950907,9.9716,14.986,49.4
19951002,13.0042,36.068,94.6
19951003,10.9996,94.996,110.7
19951004,2.9812,39.116,15.8
19951012,6.9904,34.036,47.2
19951013,7.967,14.986,42.2
19951014,4.985799999999999,69.08800000000001,26.4
19951106,4.985799999999999,0.254,43.8
19960721,6.0138,6.095999999999999,60.4
19960722,6.0138,58.92799999999999,60.6
19960723,4.985799999999999,29.972,44.6
19960728,6.0138,3.048,20.0
19960805,4.0092,1.016,30.1
19960806,4.0092,24.892,26.200000000000003
19960811,4.0092,36.068,21.9
19960813,2.9812,18.034,19.7
19960821,6.0138,5.08,46.5
19960909,11.9762,145.034,135.5
19960918,6.0138,1.016,35.2
19960919,4.985799999999999,35.05199999999999,43.3
19960920,4.985799999999999,26.924,51.5
19960921,4.0092,8.889999999999999,23.0
19970801,6.0138,0.254,62.3
19970802,4.985799999999999,4.064,50.5
19970803,4.0092,4.064,18.2
19970821,7.967,33.02,89.7
19970822,8.995000000000001,124.968,87.7
19970827,6.9904,2.032,38.9
19980810,9.9716,23.876,43.6
19980811,8.995000000000001,12.954,42.6
19980821,2.9812,1.016,28.2
19980822,6.0138,6.095999999999999,26.3
19980823,4.0092,1.016,11.4
19980911,2.9812,0.508,26.3
19980912,4.985799999999999,7.112,28.7
19980913,6.0138,32.004,37.6
19980914,4.985799999999999,8.889999999999999,31.5
19990916,6.0138,48.00599999999999,6.9
20000618,4.0092,2.794,22.2
20000715,4.985799999999999,1.5239999999999998,52.2
20000717,4.0092,18.288,22.4
20000718,2.0046,13.97,18.0
20000719,4.0092,7.112,18.7
20000831,4.0092,5.842,33.6
20000908,4.985799999999999,0.508,70.19999999999999
20000909,7.967,2.794,42.6
20001106,2.9812,0.7619999999999999,36.3
20001107,4.0092,13.716,33.4
20010630,4.985799999999999,38.354,41.8
20010701,9.9716,36.322,87.9
20010702,7.967,116.078,56.6
20010705,4.985799999999999,11.938,54.7
20010706,6.9904,44.196,45.5
20010707,6.0138,38.1,22.5
20010724,7.967,25.908,25.3
20010725,11.9762,60.45199999999999,49.4
20010726,7.967,128.778,35.8
20010809,4.0092,0.7619999999999999,28.6
20010810,4.985799999999999,36.57599999999999,26.4
20010827,6.0138,4.826,39.6
20010828,4.985799999999999,2.794,43.9
20010829,6.0138,22.86,52.6
20010830,4.985799999999999,51.816,45.9
20010831,6.0138,16.509999999999998,26.5
20010901,2.9812,82.55,28.8
20010902,4.0092,43.942,36.4
20010903,4.985799999999999,62.738,40.3
20010904,6.0138,108.712,38.4
20010905,2.9812,25.4,22.4
20010906,2.9812,11.43,19.1
20010907,2.9812,2.54,30.6
20010908,4.0092,0.7619999999999999,32.4
20010909,6.0138,0.7619999999999999,27.9
20010910,6.0138,1.016,29.6
20010911,4.0092,0.254,28.2
20010920,2.9812,0.254,23.1
20010921,4.0092,33.274,32.800000000000004
20020606,4.0092,0.508,29.2
20020707,2.0046,6.858,28.4
20020803,2.9812,6.35,31.0
20020804,4.0092,32.258,37.8
20020805,4.0092,5.08,12.2
20020818,7.967,43.434,59.6
20020819,7.967,45.974,75.0
20020910,4.0092,27.686,33.800000000000004
20020911,11.9762,99.06,69.1
20020912,4.985799999999999,72.898,40.3
20020913,4.0092,146.30399999999997,22.0
20020914,6.0138,154.178,18.4
20020915,4.0092,79.248,15.6
20020925,6.9904,21.59,29.4
20020926,4.0092,83.31199999999998,23.6
20020927,4.0092,29.463999999999995,23.1
20020928,4.0092,55.372,17.7
20030720,4.0092,12.191999999999998,39.8
20030721,6.0138,2.286,52.6
20030723,13.9808,37.338,166.4
20030724,16.962,80.264,199.1
20030820,6.0138,2.286,31.8
20030821,4.985799999999999,2.286,21.3
20030824,6.9904,82.296,119.2
20030825,8.995000000000001,9.652,66.2
20030902,6.0138,11.684,30.0
20030903,2.9812,46.99,25.3
20031118,6.0138,1.016,49.9
20031119,4.985799999999999,49.784,32.2
20040715,4.985799999999999,0.254,19.4
20040727,6.0138,0.254,28.5
20040827,8.995000000000001,40.894,26.1
20050728,4.985799999999999,5.08,35.8
20050729,11.9762,23.368,53.400000000000006
20050730,6.9904,26.924,43.7
20050925,13.9808,52.578,81.3
20050926,6.9904,12.446,46.1
20060627,4.0092,11.938,23.5
20060628,7.967,32.004,34.7
20060629,9.9716,5.08,29.5
20060703,6.9904,20.066,25.0
20060704,6.9904,0.508,21.1
20060716,8.995000000000001,13.208,17.7
20060726,6.9904,2.794,13.2
20060727,4.985799999999999,38.1,20.6
20060728,6.0138,8.128,31.3
20060729,6.9904,27.178,27.500000000000004
20060802,11.9762,9.398,74.9
20060803,20.9712,136.90599999999998,88.5
20060804,13.0042,33.02,32.800000000000004
20060809,4.985799999999999,7.619999999999999,32.1
20060810,6.9904,17.779999999999998,36.3
20060811,4.985799999999999,2.286,31.1
20060823,6.9904,0.254,28.000000000000004
20060824,6.9904,26.416,25.9
20060825,7.967,101.6,17.8
20060913,11.9762,5.842,23.7
20061213,6.0138,9.906,22.2
20061214,6.9904,1.016,32.300000000000004
20070703,4.985799999999999,2.032,35.0
20070704,6.0138,22.098,28.5
20070705,6.9904,0.254,20.5
20070808,6.9904,30.988,34.2
20070809,8.995000000000001,17.779999999999998,30.5
20070810,6.0138,5.08,18.3
20070811,6.0138,12.954,10.9
20070923,9.9716,6.35,51.9
20070924,9.9716,32.258,73.3
20071002,11.9762,30.988,65.0
20080418,9.9716,7.365999999999999,78.10000000000001
20080419,14.957400000000002,76.454,74.0
20080624,6.9904,30.226,26.200000000000003
20080625,7.967,21.336,14.3
20080626,4.0092,22.352,11.3
20080805,6.9904,2.54,46.8
20080806,15.9854,48.00599999999999,62.7
20080807,6.0138,88.138,32.4
20080822,15.9854,146.30399999999997,28.5
20080823,8.995000000000001,98.552,5.9
20080923,19.9946,49.53,158.5
20080924,13.9808,84.582,157.1
20081003,8.995000000000001,8.636000000000001,45.5
20081004,7.967,39.37,38.7
20081005,9.9716,14.477999999999998,19.7
20081006,4.985799999999999,10.668,11.7
20090626,4.0092,12.446,26.5
20090627,8.995000000000001,42.672,19.2
20090711,9.9716,9.652,69.5
20090712,7.967,5.334,33.5
20090718,13.0042,45.72,17.5
20090719,13.0042,34.544000000000004,26.200000000000003
20090803,4.985799999999999,10.922,46.400000000000006
20090804,10.9996,24.638,37.8
20090805,17.990000000000002,292.1,34.7
20090806,15.9854,177.03799999999998,39.6
20090808,4.0092,28.956,37.5
20090809,2.9812,16.002,25.3
20090910,7.967,5.588,64.0
20090911,6.9904,28.701999999999995,36.6
20090914,15.9854,10.413999999999998,42.2
20090915,24.980400000000003,125.22199999999998,68.89999999999999
20091011,9.9716,0.254,47.5
20091012,8.995000000000001,13.716,39.6
20091013,6.0138,9.398,32.800000000000004
20091019,6.9904,17.525999999999996,29.1
20091020,9.9716,2.54,33.4
20100716,6.0138,37.592,41.9
20100721,9.9716,11.938,57.2
20100722,13.9808,64.51599999999999,62.8
20100723,8.995000000000001,1.016,24.9
20100903,6.0138,5.08,20.0
20100904,6.9904,232.918,21.7
20100920,9.9716,65.78599999999999,10.6
20100921,6.9904,126.492,12.0
20101005,7.967,2.032,46.6
20101006,8.995000000000001,1.016,48.8
20101007,6.9904,5.08,42.7
20101009,8.995000000000001,6.35,34.9
20101010,6.9904,30.988,39.2
20110621,6.9904,0.7619999999999999,35.5
20110622,11.9762,20.574,54.400000000000006
20110623,8.995000000000001,41.65599999999999,56.3
20110624,6.0138,2.794,36.6
20110729,8.995000000000001,4.571999999999999,84.1
20110928,11.9762,0.508,91.0
20110929,16.962,78.48599999999999,182.2
20110930,9.9716,1.27,45.2
20111003,10.9996,2.794,81.6
20111004,9.9716,2.032,67.9
20120616,8.995000000000001,5.334,38.7
20120617,6.9904,37.084,48.4
20120618,7.967,5.08,52.7
20120619,4.985799999999999,4.571999999999999,36.4
20120629,6.9904,9.143999999999998,33.6
20120630,6.0138,34.798,36.0
20120722,6.0138,33.02,52.6
20120723,14.957400000000002,14.224,54.400000000000006
20120724,13.9808,103.12399999999998,43.7
20120805,4.0092,11.684,27.6
20120816,13.9808,13.208,91.4
20120817,13.0042,70.612,105.1
20121029,6.0138,61.722,43.1
20130621,7.967,2.286,56.2
20130622,6.0138,46.482,56.00000000000001
20130701,10.9996,43.942,70.3
20130702,8.995000000000001,20.574,27.1
20130801,6.9904,5.08,39.900000000000006
20130802,9.9716,32.512,71.5
20130803,8.995000000000001,71.374,33.900000000000006
20130813,13.0042,3.048,72.3
20130814,25.957,111.76,74.8
20130815,10.9996,99.314,18.5
20130816,6.9904,80.00999999999999,21.2
20130818,4.985799999999999,44.704,23.7
20130923,7.967,0.254,28.6
20131104,8.995000000000001,4.826,44.9
20131111,9.9716,10.668,43.9
20140717,8.995000000000001,4.3180000000000005,63.3
20140718,11.9762,21.59,111.0
20140719,11.9762,17.779999999999998,23.6
20140907,6.9904,9.906,34.599999999999994
20140908,6.0138,11.176,23.1
20140915,13.9808,19.812,137.4
20140916,13.0042,89.916,170.79999999999998
20150621,6.9904,14.224,33.7
20150622,6.9904,8.636000000000001,34.0
20150623,4.985799999999999,40.894,37.3
20151003,9.9716,16.509999999999998,103.8
20151004,15.9854,170.434,120.7
20151005,8.995000000000001,22.86,24.8
20160526,4.985799999999999,1.016,31.4
20160527,7.967,47.752,27.1
20160528,8.995000000000001,49.53,10.3
20160726,6.0138,3.81,21.7
20160727,4.985799999999999,3.048,11.2
20160801,9.9716,18.034,26.5
20160802,10.9996,13.716,35.0
20160815,4.0092,13.97,37.3
20160816,4.985799999999999,32.512,31.1
20160817,10.9996,11.43,40.1
20160818,10.9996,42.164,63.8
20160819,7.967,1.27,33.0
20161010,4.985799999999999,2.032,35.8
20161017,10.9996,11.684,76.5
20161018,10.9996,42.418,82.8
20161019,6.9904,29.718,41.9
20161020,4.985799999999999,26.924,31.6
20161021,6.9904,17.779999999999998,26.6
20170611,4.0092,14.224,18.9
20170612,4.985799999999999,22.606,23.7
20170613,4.985799999999999,4.826,8.799999999999999
20170715,6.0138,9.906,39.1
20170723,4.985799999999999,1.016,23.200000000000003
20170822,6.9904,7.874,35.099999999999994
20170823,14.957400000000002,38.862,42.4
20170824,6.0138,61.722,23.6
20170826,4.985799999999999,13.208,38.6
20170827,7.967,11.43,40.7
20170903,4.0092,1.016,30.4
20170904,2.9812,8.889999999999999,17.8
20170923,4.0092,12.7,22.0
20170924,4.985799999999999,13.462,41.6
20170925,4.0092,1.5239999999999998,18.9
20171015,13.0042,10.413999999999998,98.0
20171016,7.967,17.525999999999996,42.7
20171112,4.985799999999999,5.08,44.4
20171113,4.985799999999999,3.81,39.6
20180605,6.0138,37.592,29.3
20180606,6.0138,17.018,33.7
20180607,9.9716,185.674,40.2
20180608,2.9812,12.954,31.6
20180717,6.0138,38.1,52.2
20180718,6.9904,0.7619999999999999,46.2
20180722,4.0092,17.018,34.2
20180723,6.9904,109.21999999999998,41.6
20180724,6.9904,8.382,21.2
20180809,6.0138,0.508,38.8
20180810,8.995000000000001,86.614,37.1
20180811,7.967,246.888,32.5
20180812,8.995000000000001,1.778,33.5
20180813,6.0138,0.508,33.800000000000004
20180814,7.967,5.588,38.0
20180815,7.967,19.304,41.2
20180816,4.0092,13.462,34.1
20180912,6.9904,0.508,37.7
20180913,4.0092,19.558,25.4
20180916,18.9666,133.60399999999998,105.3
