Date,Wind,Rain,Surge
19790519,4.0092,1.016,28.5
19790520,4.985799999999999,5.08,28.2
19790521,4.0092,0.254,24.5
19790619,6.0138,18.034,22.0
19790620,6.0138,19.05,20.4
19790621,6.9904,5.08,21.6
19790622,7.967,5.08,23.5
19790623,6.0138,6.095999999999999,23.7
19790624,6.0138,9.906,24.4
19790804,4.0092,6.095999999999999,24.3
19790806,4.0092,12.954,26.3
19790807,4.0092,39.878,28.000000000000004
19790808,7.967,5.08,31.0
19790809,6.9904,19.05,27.1
19790810,4.0092,5.08,22.6
19790918,4.0092,13.97,18.4
19790919,7.967,33.02,25.2
19790920,7.967,71.88199999999999,39.1
19790921,10.9996,138.938,31.3
19790922,6.9904,3.048,21.1
19790923,6.0138,18.034,22.0
19800625,2.9812,2.032,22.0
19800626,9.9716,17.018,29.2
19800628,11.9762,1.016,10.0
19800718,4.985799999999999,6.095999999999999,16.5
19800719,6.9904,7.112,19.1
19800817,16.962,20.066,17.9
19800818,4.985799999999999,6.095999999999999,20.8
19800819,7.967,41.91,16.7
19800829,4.985799999999999,23.114,18.8
19800830,4.985799999999999,65.024,21.1
19800831,2.9812,14.986,13.8
19800905,7.967,51.054,25.9
19800906,6.9904,5.08,20.7
19800911,2.9812,18.034,20.8
19800912,4.0092,19.05,23.1
19800914,6.9904,1.016,31.3
19800915,9.9716,32.004,28.3
19800916,6.0138,1.016,19.6
19801115,7.967,1.016,27.1
19810608,2.9812,1.016,25.3
19810609,4.0092,2.032,35.9
19810610,6.0138,8.889999999999999,32.2
19810611,6.9904,23.114,28.2
19810703,7.967,5.08,38.1
19810722,6.9904,3.048,9.7
19810808,4.985799999999999,7.874,17.8
19810809,2.9812,3.048,25.2
19810810,4.985799999999999,43.942,17.2
19810816,2.9812,1.016,20.6
19810817,4.0092,22.098,22.0
19810818,6.9904,5.08,31.3
19810819,10.9996,36.068,25.8
19810820,4.0092,34.036,13.5
19811004,2.9812,16.002,17.0
19811005,6.0138,65.024,15.6
19811006,2.0046,68.072,13.3
19811122,7.967,3.048,22.6
19811123,4.0092,103.886,18.0
19820626,2.9812,2.032,22.7
19820627,4.0092,8.128,33.5
19820628,4.985799999999999,2.286,32.6
19820629,6.9904,115.062,31.3
19820717,4.985799999999999,17.018,21.0
19820905,6.9904,7.874,37.2
19820906,10.9996,12.954,41.7
19820907,7.967,2.032,38.2
19820912,4.985799999999999,17.018,21.3
19820915,2.0046,13.97,16.2
19820916,4.985799999999999,10.922,6.6000000000000005
19830624,4.985799999999999,1.016,16.3
19830625,8.995000000000001,13.97,24.4
19830626,6.9904,1.016,19.4
19830712,6.9904,7.874,17.8
19830713,4.985799999999999,0.254,18.0
19830714,4.0092,3.048,18.3
19830716,2.9812,1.016,20.6
19830718,14.957400000000002,165.1,19.9
19830930,6.0138,2.032,29.8
19831001,2.9812,26.924,25.2
19831002,6.9904,26.924,33.800000000000004
19831003,7.967,1.016,36.2
19831009,8.995000000000001,23.114,20.3
19831023,2.9812,3.048,31.0
19831025,18.9666,1.016,57.2
19831030,9.9716,1.016,28.1
19840609,6.9904,2.032,19.2
19840610,6.9904,12.191999999999998,23.1
19840625,4.0092,1.016,24.1
19840709,6.9904,13.462,17.9
19840809,4.0092,2.032,14.099999999999998
19840810,4.985799999999999,0.508,16.3
19840818,4.0092,4.064,33.300000000000004
19840904,4.0092,8.889999999999999,8.5
19840905,6.0138,2.032,10.9
19840906,4.985799999999999,16.509999999999998,11.2
19840925,4.985799999999999,7.874,20.7
19840926,4.985799999999999,33.528,23.6
19841101,7.967,0.508,23.5
19841108,6.9904,0.254,14.2
19850615,6.0138,50.038,29.8
19850616,2.9812,2.032,32.9
19850618,8.995000000000001,4.064,36.3
19850619,7.967,55.118,32.6
19850809,4.985799999999999,8.889999999999999,17.7
19850811,4.985799999999999,1.27,17.299999999999997
19850812,6.0138,2.794,16.5
19850813,4.985799999999999,3.048,15.5
19850822,6.0138,2.032,14.7
19850824,2.9812,0.508,12.8
19850825,4.0092,0.254,12.0
19850827,0.9766,0.7619999999999999,13.5
19850831,9.9716,57.15,15.3
19850905,7.967,7.112,23.200000000000003
19850919,4.0092,17.018,16.0
19850920,7.967,0.254,16.6
19850929,4.985799999999999,12.954,26.4
19851001,8.995000000000001,28.194000000000003,19.4
19851016,8.995000000000001,1.016,28.1
