Date,Wind,Rain,Surge
19790618,2.9812,13.97,22.4
19790619,4.0092,4.064,25.6
19790620,2.9812,2.032,21.5
19790621,6.0138,2.032,21.6
19790622,2.9812,26.924,29.1
19790623,4.0092,23.876,30.7
19790624,4.0092,1.016,26.700000000000003
19790705,2.9812,19.05,32.6
19790706,2.0046,30.988,38.2
19790707,2.9812,2.032,24.1
19790730,4.985799999999999,4.064,26.1
19790802,6.0138,24.892,40.8
19790803,13.0042,1.016,40.1
19790806,6.0138,4.064,32.1
19790807,6.9904,35.05199999999999,20.7
19790808,4.985799999999999,28.956,22.6
19790809,4.0092,49.022,28.5
19790810,4.0092,9.906,24.5
19790917,4.985799999999999,8.128,19.8
19790918,6.9904,7.874,22.9
19790919,6.9904,130.048,28.9
19790920,6.0138,9.906,5.1
19790921,6.0138,12.954,22.1
19790922,4.0092,5.08,39.0
19790923,2.9812,1.016,29.6
19800523,2.9812,0.508,32.0
19800626,8.995000000000001,5.08,23.7
19800627,14.957400000000002,104.902,34.1
19800628,7.967,3.048,48.3
19800718,4.0092,9.906,23.200000000000003
19800719,4.985799999999999,35.05199999999999,25.4
19800722,10.9996,149.09799999999998,117.7
19800723,4.0092,48.00599999999999,59.2
19800817,2.0046,2.032,22.0
19800818,6.0138,30.988,29.2
19800819,6.9904,7.112,24.3
19800830,4.985799999999999,10.922,16.8
19800831,4.985799999999999,21.082,19.3
19800905,6.0138,12.954,22.4
19800906,4.0092,14.986,21.9
19800911,4.985799999999999,1.016,23.5
19800913,4.0092,13.97,35.4
19800914,15.9854,91.948,57.7
19800915,10.9996,54.102,37.3
19810608,4.985799999999999,6.095999999999999,31.0
19810609,6.0138,1.016,30.7
19810610,6.9904,23.114,31.6
19810611,6.9904,5.08,32.1
19810612,4.985799999999999,4.064,36.1
19810703,6.9904,30.988,28.5
19810704,9.9716,5.08,50.7
19810706,4.985799999999999,9.906,30.6
19810707,4.985799999999999,2.032,26.5
19810722,2.9812,25.908,22.5
19810723,6.9904,1.016,27.3
19810809,6.0138,11.938,31.6
19810810,6.0138,5.08,28.8
19810817,6.0138,2.032,27.0
19810818,6.0138,27.94,27.6
19810820,4.0092,1.016,43.1
19811003,4.985799999999999,0.7619999999999999,23.8
19811005,2.9812,3.048,20.200000000000003
19811006,4.985799999999999,17.018,22.7
19811007,4.985799999999999,1.016,19.1
19811122,6.0138,2.032,28.000000000000004
19811123,4.0092,34.036,28.9
19811229,2.9812,1.016,6.6000000000000005
19820629,4.0092,135.89,37.6
19820630,2.9812,163.06799999999998,27.9
19820716,2.9812,23.876,31.6
19820717,8.995000000000001,27.94,46.2
19820718,4.985799999999999,118.11,27.1
19820905,6.0138,2.032,42.2
19820906,6.0138,38.1,41.5
19820913,6.0138,5.08,41.8
19820915,13.9808,119.126,29.1
19821016,6.0138,5.08,34.5
19821017,6.9904,68.072,8.3
19830625,6.9904,0.508,19.8
19830626,6.0138,6.095999999999999,21.4
19830713,7.967,25.908,27.0
19830714,4.0092,25.908,25.7
19830716,4.985799999999999,11.938,45.8
19830717,19.9946,18.034,50.9
19830718,8.995000000000001,13.97,46.3
19830909,4.985799999999999,0.254,19.8
19830929,7.967,8.889999999999999,39.5
19830930,16.962,96.012,59.5
19831001,4.0092,16.002,34.599999999999994
19831002,6.9904,55.118,33.2
19831003,6.9904,24.892,32.2
19831013,6.0138,1.016,36.6
19831023,6.9904,0.508,32.5
19831024,7.967,5.08,51.3
19831025,9.9716,3.048,51.1
19831026,6.9904,23.876,22.2
19840610,6.0138,12.954,22.9
19840625,6.9904,107.95,45.3
19840626,4.0092,2.032,43.6
19840708,4.0092,17.018,28.6
19840709,7.967,58.42,31.0
19840810,4.0092,1.778,20.8
19840811,2.0046,3.048,22.7
19840818,4.985799999999999,43.434,49.2
19840819,7.967,21.082,44.3
19840904,4.985799999999999,10.922,10.1
19840906,6.9904,27.178,21.2
19840925,6.0138,3.048,24.5
19840926,4.0092,11.43,21.0
19850615,6.0138,2.032,35.099999999999994
19850618,4.0092,34.036,37.1
19850619,7.967,23.114,36.1
19850629,4.985799999999999,2.54,36.9
19850630,2.0046,0.254,26.200000000000003
19850811,2.9812,12.191999999999998,22.6
19850812,2.9812,28.956,21.5
19850813,4.0092,39.878,21.5
19850815,2.9812,36.068,21.5
19850822,2.9812,9.398,20.4
19850823,2.9812,29.972,23.8
19850824,4.0092,1.016,28.6
19850825,4.0092,18.034,36.8
19850826,6.9904,34.036,36.9
19850827,4.985799999999999,4.3180000000000005,33.800000000000004
19850828,2.9812,6.35,29.0
19850829,2.9812,0.254,26.1
19850830,2.0046,51.308,20.8
19850831,4.0092,54.356,25.6
19850905,8.995000000000001,39.116,42.0
19850906,7.967,20.066,35.2
19850919,4.0092,16.509999999999998,15.6
19850920,4.985799999999999,30.988,18.4
19850921,6.9904,100.076,20.1
19850922,4.985799999999999,24.892,12.6
19850929,16.962,50.292,26.6
19850930,6.9904,62.992,7.1
19851001,6.9904,8.889999999999999,24.8
19851015,6.9904,26.924,19.9
19851020,19.9946,7.874,35.4
19851021,11.9762,49.022,25.1
19860516,4.985799999999999,2.032,22.6
19860518,4.985799999999999,6.095999999999999,29.6
19860519,4.0092,4.064,22.1
19860520,6.0138,8.382,22.8
19860521,4.985799999999999,77.46999999999998,19.3
19860522,2.9812,1.016,30.5
19860623,4.0092,0.254,21.8
19860625,7.967,6.095999999999999,22.2
19860712,2.9812,34.544000000000004,25.4
19860713,4.0092,2.032,18.5
19860719,2.9812,13.97,17.599999999999998
19860720,10.9996,58.42,21.8
19860721,4.985799999999999,33.274,28.2
19860809,6.0138,24.892,31.2
19860810,7.967,18.034,31.2
19860811,6.9904,0.508,32.4
19860812,4.985799999999999,0.508,29.1
19860826,2.0046,89.408,25.4
19860904,6.0138,7.112,67.30000000000001
19860905,17.990000000000002,121.92,66.2
19861010,6.9904,7.112,12.4
19861011,6.0138,2.794,14.000000000000002
19861019,4.985799999999999,5.334,23.5
19870618,2.9812,9.906,33.7
19870619,2.9812,54.102,30.1
19870815,7.967,13.97,27.200000000000003
19870816,8.995000000000001,10.922,53.7
19870821,8.995000000000001,5.08,25.1
19870822,7.967,6.35,63.6
19871127,7.967,1.5239999999999998,23.5
19871128,6.9904,1.016,28.2
19880629,4.0092,0.254,19.9
19880801,2.9812,1.016,23.200000000000003
19880802,4.0092,3.048,22.1
19880804,4.0092,8.128,23.1
19880922,2.9812,0.254,26.200000000000003
19881001,13.0042,46.482,35.6
19881002,6.9904,67.056,21.6
19881003,4.985799999999999,0.254,23.4
19881004,4.0092,20.574,25.7
19881022,13.9808,18.034,51.3
19881027,8.995000000000001,29.463999999999995,46.400000000000006
19881028,15.9854,113.03,47.0
19881029,7.967,56.896,31.3
19881112,7.967,21.59,28.4
19890520,4.985799999999999,5.08,41.8
19890524,4.985799999999999,2.54,16.8
19890525,8.995000000000001,16.002,23.200000000000003
19890609,6.9904,1.016,42.2
19890625,2.9812,14.986,22.1
19890626,4.0092,12.954,21.6
19890627,4.985799999999999,3.556,20.6
19890710,13.0042,5.334,25.8
19890711,6.0138,5.842,20.7
19890717,4.0092,21.082,31.3
19890719,4.0092,16.002,27.9
19890722,6.0138,2.032,18.6
19890723,6.9904,24.384,34.599999999999994
19890810,4.0092,21.082,21.4
19890811,2.0046,39.878,31.0
19891002,11.9762,38.1,60.0
19891003,6.9904,22.352,60.1
19891009,7.967,29.972,47.2
19891010,6.9904,166.116,41.5
19891012,13.0042,20.066,33.0
19891013,7.967,13.208,79.9
19891021,9.9716,23.114,36.3
19891022,7.967,159.004,33.5
19900517,4.985799999999999,8.889999999999999,13.4
19900524,6.9904,20.066,11.2
19900525,4.985799999999999,21.082,27.9
19900526,4.0092,7.874,32.2
19900527,2.9812,1.5239999999999998,24.9
19900528,4.0092,14.986,18.8
19900529,2.9812,8.889999999999999,20.1
19900616,6.0138,1.016,37.0
19900617,8.995000000000001,151.892,41.4
19900618,6.0138,104.902,31.2
