Date,Wind,Rain,Surge
19790618,4.985799999999999,1.016,21.7
19790619,4.0092,24.892,21.5
19790620,6.0138,16.002,19.2
19790621,6.9904,5.08,21.4
19790622,6.0138,8.889999999999999,23.200000000000003
19790623,6.9904,7.112,26.1
19790624,6.0138,3.048,24.2
19790705,4.0092,2.032,25.0
19790706,4.0092,16.002,24.7
19790803,7.967,12.954,26.4
19790804,2.9812,38.1,23.8
19790805,2.9812,17.018,25.4
19790806,2.9812,23.114,29.7
19790807,9.9716,29.972,29.5
19790808,4.985799999999999,16.002,31.1
19790809,4.985799999999999,18.034,28.3
19790810,6.9904,36.068,21.5
19790917,6.0138,35.05199999999999,18.4
19790918,4.985799999999999,22.098,23.5
19790919,13.0042,198.882,28.1
19790920,13.0042,164.084,34.599999999999994
19790921,6.0138,20.066,24.2
19790922,6.9904,25.908,22.7
19790923,4.985799999999999,41.91,21.6
19790924,2.9812,4.064,15.6
19800522,4.0092,4.064,34.5
19800523,4.985799999999999,2.032,33.1
19800625,4.985799999999999,9.906,22.9
19800626,22.975800000000003,30.988,35.4
19800627,19.9946,93.98,26.8
19800718,4.0092,10.922,21.3
19800719,4.0092,10.922,16.900000000000002
19800723,21.9478,12.954,31.3
19800817,4.0092,4.064,21.8
19800818,4.0092,70.10399999999998,29.6
19800819,6.0138,5.08,16.400000000000002
19800829,6.9904,29.972,19.4
19800830,6.0138,21.082,18.5
19800831,2.9812,10.922,11.2
19800905,9.9716,39.878,25.9
19800906,6.9904,24.892,15.1
19800911,4.985799999999999,3.048,21.0
19800914,15.9854,76.96199999999999,45.8
19800915,7.967,43.942,37.8
19810608,4.0092,39.878,32.6
19810609,4.0092,38.1,39.900000000000006
19810610,4.0092,24.892,35.5
19810611,6.0138,34.036,30.5
19810612,4.985799999999999,2.032,28.7
19810703,13.9808,1.016,53.3
19810704,10.9996,2.032,27.500000000000004
19810723,6.9904,0.508,8.200000000000001
19810808,4.0092,8.889999999999999,23.0
19810809,6.0138,44.958,28.7
19810810,7.967,43.942,16.0
19810816,2.9812,23.114,24.0
19810817,4.0092,11.938,27.1
19810818,8.995000000000001,30.988,31.4
19810819,8.995000000000001,3.048,25.4
19811004,2.9812,13.97,23.5
19811005,4.0092,3.048,19.3
19811006,2.9812,53.08599999999999,8.9
19811007,4.0092,34.036,8.799999999999999
19811121,4.985799999999999,2.032,23.200000000000003
19811122,9.9716,7.112,33.0
19811123,4.985799999999999,56.896,21.6
19820625,4.0092,2.032,24.7
19820627,6.0138,14.986,39.4
19820628,6.9904,11.938,43.3
19820629,4.985799999999999,62.992,40.7
19820716,4.985799999999999,6.095999999999999,30.2
19820905,6.9904,12.954,51.1
19820906,7.967,75.946,50.0
19820913,6.0138,9.906,40.1
19820914,7.967,16.002,33.7
19820916,4.985799999999999,18.034,13.6
19821017,10.9996,131.064,52.400000000000006
19830625,6.9904,1.016,18.6
19830626,7.967,9.906,13.6
19830712,4.985799999999999,26.924,27.800000000000004
19830713,6.9904,52.578,24.8
19830714,4.985799999999999,42.926,13.6
19830716,4.985799999999999,2.032,41.1
19830717,17.990000000000002,164.084,56.3
19830718,10.9996,2.032,15.4
19830929,6.0138,1.016,44.1
19830930,13.9808,134.874,43.8
19831001,4.0092,113.03,32.800000000000004
19831002,6.9904,54.102,43.6
19831003,7.967,20.066,40.5
19831014,2.0046,1.016,20.3
19831023,4.0092,0.508,38.6
19831024,4.985799999999999,3.048,61.9
19831025,8.995000000000001,10.922,59.6
19831026,6.0138,77.978,34.8
19840610,6.0138,7.619999999999999,16.400000000000002
19840625,4.985799999999999,13.462,31.5
19840708,4.0092,2.286,28.6
19840709,4.985799999999999,11.938,22.4
19840809,2.9812,6.095999999999999,18.5
19840810,2.9812,14.224,19.8
19840811,2.9812,6.095999999999999,20.1
19840818,4.0092,21.082,52.2
19840819,6.0138,7.112,52.5
19840820,4.985799999999999,3.048,32.6
19840905,10.9996,32.004,26.1
19840906,6.0138,85.09,6.1
19840925,11.9762,9.906,22.1
19840926,4.985799999999999,14.986,21.4
19840927,4.985799999999999,34.798,22.5
19850615,2.9812,24.892,37.7
19850616,4.0092,19.05,35.3
19850617,6.0138,6.095999999999999,35.5
19850618,4.985799999999999,19.05,36.2
19850620,6.0138,0.508,30.1
19850629,4.0092,1.016,17.5
19850811,2.9812,9.906,21.2
19850812,2.9812,1.5239999999999998,20.9
19850813,2.9812,9.906,18.4
19850814,4.0092,3.048,13.0
19850815,4.0092,1.016,10.8
19850821,4.0092,5.08,14.3
19850822,6.0138,2.032,21.9
19850823,2.0046,8.128,18.5
19850826,4.0092,0.508,12.2
19850827,2.9812,0.254,18.9
19850828,4.985799999999999,4.064,17.299999999999997
19850830,4.0092,11.938,16.1
19850831,6.0138,3.048,16.1
19850904,4.985799999999999,37.338,27.9
19850905,6.0138,105.918,37.7
19850906,4.0092,2.032,27.4
19850920,4.0092,3.048,19.4
19850921,6.0138,89.916,17.9
19850922,2.9812,0.254,4.2
19850923,2.9812,4.3180000000000005,7.399999999999999
19850928,6.0138,0.508,33.5
19850929,9.9716,192.024,34.8
19850930,7.967,43.942,21.4
19851001,6.0138,3.048,24.5
19851015,9.9716,40.894,30.8
19851016,7.967,1.016,18.1
19851020,15.9854,39.37,92.5
19851021,8.995000000000001,3.048,74.2
19860516,6.0138,15.239999999999998,30.8
19860517,4.985799999999999,6.095999999999999,33.5
19860518,4.0092,1.016,30.0
19860519,6.0138,14.477999999999998,23.7
19860520,6.0138,157.98799999999997,10.2
19860521,2.9812,19.05,11.8
19860522,4.0092,0.254,29.2
19860623,4.0092,20.066,17.299999999999997
19860625,4.0092,7.112,14.3
19860720,4.985799999999999,71.11999999999999,16.7
19860721,4.985799999999999,18.034,2.8000000000000003
19860722,2.9812,6.35,6.1
19860809,6.0138,74.93,35.0
19860810,4.0092,65.024,37.4
19860811,6.9904,14.986,30.1
19860819,2.9812,1.016,20.9
19860826,2.0046,23.114,30.2
19860904,8.995000000000001,19.05,45.4
19860905,8.995000000000001,109.982,44.8
19861010,4.985799999999999,8.382,22.0
19861011,6.9904,24.892,22.4
19861019,4.985799999999999,1.016,18.3
19861021,6.0138,5.588,26.5
19861022,7.967,5.334,23.3
19861115,8.995000000000001,3.048,26.5
19870618,2.9812,4.064,34.8
19870619,2.0046,15.493999999999998,28.8
19870815,9.9716,33.02,42.4
19870816,9.9716,2.032,21.8
19870821,14.957400000000002,15.493999999999998,45.6
19870822,10.9996,1.27,22.9
19870904,4.985799999999999,9.398,24.4
19870905,4.985799999999999,10.413999999999998,18.0
19871127,8.995000000000001,3.048,32.6
19871128,9.9716,0.254,30.3
19880629,4.0092,39.37,15.4
19880801,2.9812,14.986,21.8
19880802,2.9812,7.874,23.4
19880804,4.0092,0.7619999999999999,14.099999999999998
19880922,4.0092,1.016,34.599999999999994
19880930,4.0092,6.604,40.6
19881001,7.967,150.876,42.1
19881002,4.985799999999999,5.334,32.6
19881003,6.9904,2.032,26.700000000000003
19881004,2.9812,12.446,27.9
19881021,2.9812,1.016,41.1
19881022,7.967,10.922,73.4
19881023,4.0092,0.508,22.3
19881027,6.9904,42.926,68.2
19881028,17.990000000000002,133.35,72.39999999999999
19881029,4.985799999999999,16.002,32.6
19881110,6.0138,1.27,42.6
19881111,6.0138,22.352,41.2
19881112,2.9812,48.00599999999999,35.6
19890519,4.0092,0.7619999999999999,36.7
19890520,6.0138,1.016,38.0
19890524,6.9904,2.286,19.7
19890525,6.9904,11.43,26.200000000000003
19890609,8.995000000000001,28.956,74.7
19890610,15.9854,23.876,74.6
19890625,2.9812,0.508,21.9
19890626,6.0138,50.038,20.4
19890627,4.0092,1.016,12.1
19890710,9.9716,6.095999999999999,19.5
19890711,6.0138,35.05199999999999,13.0
19890717,4.0092,19.05,31.6
19890718,4.985799999999999,27.94,32.800000000000004
19890722,6.9904,20.066,32.6
19890723,6.9904,33.02,25.2
19890809,4.0092,1.016,17.299999999999997
19890810,2.9812,9.398,24.1
19890811,2.0046,10.413999999999998,26.8
19891001,4.985799999999999,1.5239999999999998,43.4
19891002,15.9854,313.944,84.6
19891003,10.9996,355.092,28.4
19891008,4.0092,0.254,54.50000000000001
19891009,10.9996,36.068,62.6
19891010,7.967,13.97,32.7
19891012,14.957400000000002,57.91199999999999,69.5
19891013,13.0042,32.004,50.2
19891021,6.0138,59.944,51.9
19891022,6.9904,3.302,29.1
19900517,4.985799999999999,2.032,21.2
19900524,6.0138,30.988,24.8
19900525,4.985799999999999,45.974,32.300000000000004
19900526,2.0046,13.97,29.3
19900527,4.985799999999999,24.892,21.9
19900528,6.0138,3.556,17.2
19900529,2.9812,5.08,21.9
19900616,6.9904,36.068,35.5
19900617,6.9904,60.96,38.1
19900618,2.9812,17.018,21.9
19900721,4.0092,27.178,24.7
19900722,4.985799999999999,67.056,25.3
19900828,20.9712,94.996,96.8
19900829,13.9808,98.044,67.4
19900912,0.9766,0.7619999999999999,5.6000000000000005
19900916,4.985799999999999,0.7619999999999999,35.7
19900917,6.9904,13.97,40.2
19900919,7.967,4.064,26.3
19901115,4.985799999999999,44.958,44.1
19901116,8.995000000000001,74.93,41.3
19901117,6.9904,4.064,23.200000000000003
19910712,19.9946,45.974,57.9
19910713,19.9946,78.99399999999999,54.8
19910714,6.0138,54.102,7.8
19910723,2.9812,13.97,17.1
19910724,2.0046,16.002,18.2
19910726,2.9812,4.064,13.6
19910727,2.0046,10.922,12.6
19910728,4.0092,3.048,7.6
19910815,6.9904,41.91,47.5
