Date,Wind,Rain,Surge
19790726,6.0138,3.048,27.700000000000003
19810726,4.0092,19.05,25.1
19810727,2.9812,13.97,35.7
19820813,6.9904,1.016,84.2
19820814,4.985799999999999,2.032,91.8
19840802,6.0138,1.016,34.2
19840803,6.0138,6.095999999999999,37.9
19840809,6.9904,0.254,27.4
19840810,9.9716,0.508,37.1
19840828,4.0092,0.254,24.6
19850802,2.9812,3.048,64.4
19850818,2.9812,39.116,44.9
19850819,8.995000000000001,101.092,87.0
19850902,2.9812,0.7619999999999999,42.9
19870728,11.9762,0.254,31.7
19870729,9.9716,0.254,56.6
19900901,6.9904,2.032,45.5
19910823,6.0138,7.874,27.6
19910824,6.9904,3.048,48.0
19920901,13.0042,98.044,140.3
19920902,6.0138,20.066,113.7
19940713,8.995000000000001,2.032,71.0
19940815,13.0042,9.906,151.5
19940816,6.9904,1.016,136.9
19940824,2.9812,21.082,32.2
19940825,4.0092,17.018,33.7
19940903,4.985799999999999,2.032,9.0
19970820,13.0042,66.03999999999999,103.3
20000710,6.9904,50.038,46.400000000000006
20000711,4.985799999999999,19.812,45.5
20000831,6.0138,23.114,59.8
20010802,6.0138,9.398,58.2
20020727,4.985799999999999,3.81,50.9
20020728,4.985799999999999,4.571999999999999,44.4
20040914,6.0138,11.176,51.2
20050807,11.9762,30.48,53.1
20050808,4.0092,8.382,94.3
20050809,7.967,0.7619999999999999,77.3
20050912,4.985799999999999,11.43,26.9
20070920,7.967,29.21,48.1
20080720,4.0092,45.974,27.700000000000003
20110626,8.995000000000001,25.146,107.7
20110807,6.0138,22.098,82.69999999999999
20110808,4.985799999999999,9.398,87.7
20120802,4.0092,12.7,58.3
20120803,6.9904,28.701999999999995,58.3
20120804,4.985799999999999,20.828,39.2
20140725,9.9716,51.308,79.60000000000001
20170803,4.0092,56.642,53.400000000000006
20180723,6.9904,4.826,41.1
20180813,4.0092,2.032,40.2
20180814,6.0138,0.254,32.9
20180815,6.0138,5.588,47.6
20180819,6.0138,51.308,31.1
20180820,4.985799999999999,5.588,95.5
