Date,Wind,Rain,Surge
19930819,9.766,0.508,53.0
20000618,7.71,82.042,20.5
20000717,11.308,89.154,31.2
20000824,7.967,14.224,9.6
20000831,11.308,13.462,30.2
20000901,8.6866,25.146,16.2
20000907,6.682,0.7619999999999999,37.3
20000908,7.196,0.7619999999999999,42.3
20001107,8.995000000000001,50.546,33.800000000000004
20010630,10.794,12.191999999999998,39.7
20010701,12.2846,41.148,49.3
20010702,9.303400000000002,15.748,31.8
20010706,21.9478,130.048,58.5
20010707,14.957400000000002,52.832,19.9
20010725,11.9762,6.095999999999999,42.6
20010726,7.967,4.064,18.5
20010828,7.71,18.034,37.5
20010829,9.303400000000002,52.06999999999999,34.4
20010831,7.71,9.143999999999998,21.3
20010901,4.985799999999999,40.894,24.5
20010902,6.682,117.094,30.4
20010903,8.172600000000001,50.8,31.0
20010907,6.9904,1.5239999999999998,26.3
20010908,7.967,4.3180000000000005,28.7
20010921,9.303400000000002,26.924,31.7
20020605,10.28,0.7619999999999999,26.9
20020707,4.5746,22.86,25.3
20020708,6.0138,5.08,25.2
20020802,5.7054,24.892,24.3
20020803,6.9904,7.619999999999999,32.9
20020804,10.28,5.842,35.099999999999994
20020805,11.9762,2.286,14.099999999999998
20020819,13.0042,36.068,40.400000000000006
20020910,8.995000000000001,13.208,36.4
20020911,14.957400000000002,41.65599999999999,54.900000000000006
20020912,8.6866,20.32,25.0
20020913,7.71,4.826,16.7
20020914,5.7054,6.095999999999999,17.299999999999997
20020915,7.196,92.71,18.2
20030720,8.6866,0.254,32.2
20030721,9.9716,22.098,31.5
20030723,17.990000000000002,12.7,108.1
20030724,16.4994,8.382,106.8
20030819,7.71,0.7619999999999999,25.8
20030820,7.967,11.176,30.9
20030821,4.985799999999999,64.77,19.3
20030824,16.962,40.894,57.1
20030825,14.392,61.97599999999999,35.0
20030902,22.5646,18.034,39.8
20030903,11.9762,88.646,34.9
20031119,11.308,3.302,20.7
20040716,15.9854,1.016,22.9
20040727,7.196,1.27,23.7
20040825,7.196,1.016,24.0
20040827,5.7054,20.066,29.0
20050729,8.6866,12.191999999999998,38.1
20050812,8.172600000000001,1.778,26.200000000000003
20050813,12.2846,10.668,28.3
20050924,14.392,0.254,59.7
20050925,13.9808,18.288,49.7
20060517,15.3686,13.208,38.8
20060518,9.303400000000002,10.413999999999998,11.9
20060628,8.6866,0.254,22.9
20060629,8.6866,48.26,20.8
20060715,15.8826,2.032,15.3
20060716,12.2846,68.072,21.3
20060727,7.71,68.58,23.200000000000003
20060728,8.6866,12.191999999999998,23.3
20060802,17.476,1.016,71.1
20060803,21.074,20.574,77.9
20060804,11.308,124.46,28.3
20060809,13.878,0.254,27.200000000000003
20060810,8.172600000000001,28.701999999999995,34.8
20060811,10.9996,11.684,27.9
20060824,8.172600000000001,1.778,24.9
20060825,6.682,24.384,15.3
20060912,10.28,13.462,27.6
20060913,9.303400000000002,55.626,26.6
20061214,8.172600000000001,25.908,24.3
20070808,13.364,3.556,34.599999999999994
20070809,8.995000000000001,45.72,37.6
20070810,15.8826,12.446,27.4
20070811,9.766,45.212,18.2
20070924,9.766,30.48,44.6
20080419,16.962,0.508,45.5
20080625,16.962,170.434,22.4
20080626,12.9014,129.794,13.3
20080805,14.392,0.508,55.3
20080806,16.962,21.082,67.7
20080823,13.364,101.346,21.0
20080924,13.9808,65.024,87.9
20081004,9.766,4.826,27.1
20081005,15.8826,14.986,21.6
20081006,9.766,70.866,9.5
20090621,9.303400000000002,0.508,19.3
20090627,12.2846,11.43,12.1
20090712,8.6866,8.382,20.200000000000003
20090719,17.990000000000002,118.618,29.4
20090804,13.364,7.112,39.4
20090805,13.364,30.48,35.3
20090806,8.172600000000001,71.62799999999999,28.8
20090807,7.967,3.81,30.3
20090913,14.8546,0.508,32.7
20090914,23.0786,3.81,75.3
20090915,14.8546,75.692,60.6
20091012,9.303400000000002,4.571999999999999,31.1
20100722,13.364,30.988,28.3
20100829,7.71,4.571999999999999,23.0
20100830,6.168,14.477999999999998,27.700000000000003
20100903,7.196,6.35,21.3
20100904,7.71,160.27399999999997,18.4
20100921,10.28,92.71,9.7
20101009,9.303400000000002,0.254,27.700000000000003
20101010,9.766,4.3180000000000005,27.500000000000004
20101022,9.9716,0.254,45.5
20110611,7.71,2.032,10.5
20110622,15.8826,9.398,49.7
20110623,13.878,30.988,45.9
20110729,13.364,6.095999999999999,42.3
20110929,17.990000000000002,9.143999999999998,76.3
20111003,9.766,3.048,61.1
20120617,10.28,24.892,35.5
20120618,9.303400000000002,1.778,32.2
20120619,6.9904,6.604,30.9
20120630,9.303400000000002,7.874,31.8
20120722,9.303400000000002,2.54,43.4
20120723,25.6486,1.778,92.9
20120724,14.8546,229.616,73.5
20120816,13.878,8.889999999999999,71.6
20120817,13.9808,15.493999999999998,52.3
20130622,9.9716,6.35,34.8
20130702,9.303400000000002,22.098,16.8
20130718,8.172600000000001,1.27,22.3
20130802,10.794,1.778,34.7
20130814,14.8546,29.21,60.6
20130815,13.364,20.574,25.8
20130816,11.308,10.413999999999998,25.4
20130817,9.303400000000002,19.304,23.3
20130818,7.196,5.334,22.9
20130923,12.3874,93.726,31.6
20131104,7.71,5.842,33.0
20140615,9.303400000000002,2.54,31.1
20140616,7.71,4.064,10.6
20140718,13.9808,20.32,53.5
20140908,5.7054,0.7619999999999999,14.7
20140915,20.9712,0.7619999999999999,93.1
20140916,17.476,26.162,93.1
20151004,13.364,79.248,38.9
20160527,12.9014,11.684,25.4
20160528,10.794,4.826,8.6
20160802,18.9666,123.698,43.9
20160815,4.5746,12.446,34.0
20160816,6.9904,23.368,29.9
20160817,8.7894,17.779999999999998,41.0
20160818,9.766,36.322,33.5
20161006,6.9904,1.27,32.0
20161007,10.28,0.508,24.6
20161011,8.172600000000001,1.778,28.8
20161020,12.9014,18.034,31.2
20161021,18.9666,1.016,34.9
20170613,9.766,44.958,10.0
20170722,6.168,0.508,14.8
20170823,28.27,26.416,75.1
20170827,19.9946,77.978,57.1
20170901,9.766,17.779999999999998,32.5
20170902,13.878,39.624,35.3
20170903,13.364,16.002,26.6
20170904,13.0042,70.866,15.2
20170923,7.71,4.064,18.6
20170924,9.766,6.095999999999999,30.0
20171015,13.9808,9.906,69.89999999999999
20171016,8.172600000000001,18.034,26.3
20180605,7.71,11.684,25.8
20180606,13.364,32.004,33.0
20180607,9.766,66.80199999999999,35.0
20180608,12.9014,89.66199999999999,38.4
20180609,6.168,43.688,27.800000000000004
20180610,6.682,1.016,23.8
20180613,7.71,53.08599999999999,27.6
20180717,14.392,0.508,39.5
20180724,8.7894,28.448,16.900000000000002
20180810,7.71,11.684,30.6
20180811,7.196,67.30999999999999,29.9
20180812,8.7894,35.306,31.5
20180813,7.967,28.701999999999995,31.4
20180814,8.7894,5.588,31.5
20180815,7.196,12.954,28.2
20180822,12.9014,7.874,26.6
20180913,9.303400000000002,2.286,19.3
20180916,31.354,162.052,148.2
20181102,7.71,0.254,36.7
20181103,4.5746,0.254,22.5
